행정동명,어린이집 수
가남읍,12
가능동,23
가산면,2
가좌동,13
가평읍,11
갈매동,29
갈산동,3
갈현동,15
감일동,2
강상면,6
강천면,1
강하면,1
개군면,1
경안동,19
고덕동,21
고덕면,8
고등동,10
고봉동,8
고양동,15
고잔동,9
고천동,9
고촌읍,35
곡선동,23
곤지암읍,12
공도읍,66
과천동,7
관고동,8
관산동,11
관양1동,10
관양2동,5
관인면,1
광교1동,43
광교2동,23
광남1동,27
광남2동,37
광명3동,1
광명4동,4
광명5동,9
광명6동,8
광명7동,14
광적면,9
광정동,19
광탄면,9
교문1동,6
교문2동,15
교하동,13
구갈동,21
구래동,58
구미1동,16
구미동,26
구성동,31
구운동,26
군남면,1
군내면,7
군자동,12
군포1동,19
군포2동,31
궁내동,11
권선1동,24
권선2동,63
귀인동,2
금곡동,84
금광1동,12
금광2동,17
금광면,3
금정동,8
금촌1동,26
금촌2동,51
금촌3동,44
기배동,14
기흥동,19
김포본동,40
남면,5
남사읍,21
남양읍,49
남종면,1
남촌동,15
남한산성면,1
내손1동,14
내손2동,17
내촌면,1
녹양동,32
능곡동,29
능평동,23
다산1동,36
다산2동,17
단대동,15
단월면,1
달안동,6
대곶면,3
대덕동,7
대덕면,14
대부동,2
대산동,40
대신면,2
대야동,40
대원동,80
대월면,20
대화동,22
덕이동,18
덕풍1동,16
덕풍2동,14
덕풍3동,19
도척면,4
도촌동,31
동구동,28
동백1동,24
동백2동,13
동백3동,16
동부동,8
동삭동,24
동천동,33
동탄1동,45
동탄2동,16
동탄3동,38
동탄4동,34
동탄5동,41
동탄6동,32
동탄7동,45
동탄8동,33
동탄9동,41
마두1동,12
마두2동,4
마북동,21
마산동,39
마장면,6
망포1동,37
망포2동,23
매교동,1
매산동,10
매송면,1
매탄1동,21
매탄2동,13
매탄3동,44
매탄4동,26
매화동,8
모가면,2
모현읍,15
목감동,48
문산읍,53
문원동,6
미사1동,29
미사2동,41
미사3동,30
미양면,3
박달1동,3
박달2동,14
반월동,48
배곧1동,48
배곧2동,24
백사면,7
백석1동,15
백석2동,6
백석읍,25
백암면,1
백운동,21
백학면,1
백현동,14
범계동,6
범안동,63
법원읍,6
별내동,64
별내면,28
별양동,9
병점1동,24
병점2동,18
보개면,3
보라동,28
보산동,2
보정동,21
복정동,5
본오1동,23
본오2동,16
본오3동,10
봉담읍,78
부곡동,28
부림동,26
부발읍,36
부천동,42
부흥동,12
북내면,2
북면,1
분당동,19
불현동,34
비봉면,2
비산1동,12
비산2동,8
비산3동,2
비전1동,41
비전2동,46
사동,16
사우동,15
사이동,20
산본1동,10
산본2동,19
산북면,2
산성동,6
삼가동,12
삼송1동,16
삼송2동,14
삼죽면,1
삼평동,33
상갈동,9
상대원1동,40
상대원2동,12
상대원3동,7
상동,61
상면,2
상패동,3
상하동,17
상현1동,14
상현2동,22
상현3동,15
새솔동,24
생연1동,12
생연2동,10
서농동,25
서둔동,32
서신면,1
서운면,1
서정동,12
서종면,4
서탄면,1
서현1동,19
서현2동,15
석수1동,10
석수2동,20
석수3동,8
선단동,7
선부1동,9
선부2동,13
선부3동,21
설성면,1
설악면,3
성곡동,37
성남동,21
성복동,20
성사1동,8
성사2동,6
성포동,21
세교동,29
세류1동,12
세류2동,16
세류3동,17
세마동,34
세종대왕면,2
소사본동,29
소요동,7
소하1동,19
소하2동,18
소흘읍,31
송내동,43
송부동,20
송북동,19
송산1동,38
송산2동,45
송산3동,45
송산면,3
송정동,16
송죽동,12
송탄동,20
송포동,9
수내1동,11
수내2동,1
수내3동,8
수동면,4
수리동,13
수진1동,5
수진2동,11
수택1동,5
수택2동,9
수택3동,14
시흥동,3
식사동,19
신갈동,29
신곡1동,44
신곡2동,46
신길동,23
신둔면,5
신봉동,25
신북면,6
신장1동,8
신장2동,53
신장동,61
신중동,81
신천동,19
신촌동,9
신평동,10
신현동,29
신흥1동,6
신흥2동,11
신흥3동,6
심곡동,24
쌍령동,13
안산동,4
안성1동,5
안성2동,23
안성3동,18
안양1동,10
안양2동,5
안양3동,4
안양4동,2
안양5동,4
안양6동,10
안양7동,9
안양8동,2
안양9동,4
안중읍,31
야탑1동,14
야탑2동,13
야탑3동,26
양동면,1
양서면,7
양성면,1
양정동,1
양주1동,7
양주2동,77
양지동,10
양지면,11
양촌읍,25
양평읍,21
여흥동,20
역북동,25
연무동,10
연성동,25
연천읍,4
영덕1동,28
영덕2동,20
영북면,8
영중면,1
영통1동,51
영통2동,42
영통3동,32
영화동,11
오금동,23
오남읍,63
오성면,2
오전동,27
오정동,36
오포1동,14
오포2동,32
오학동,13
옥천면,4
와동,26
와부읍,73
왕징면,1
용문면,7
용이동,20
우만1동,19
우만2동,19
우정읍,7
운양동,51
운정1동,48
운정2동,47
운정3동,57
운정4동,6
운정5동,42
운중동,9
원곡동,4
원곡면,3
원문동,6
원삼면,2
원신동,14
원천동,19
원평동,12
월곶동,18
월곶면,1
월롱면,2
월피동,22
위례동,35
유림동,25
율면,1
율천동,42
은행1동,11
은행2동,18
은행동,38
은현면,5
의정부1동,9
의정부2동,16
이동,12
이동면,4
이동읍,17
이매1동,20
이매2동,13
인계동,25
인창동,15
일동,13
일동면,5
일산1동,17
일산2동,9
일산3동,12
일죽면,1
일직동,9
입북동,28
자금동,35
장곡동,35
장기동,37
장기본동,35
장안면,3
장암동,17
장항1동,5
장항2동,7
장호원읍,8
장흥면,8
재궁동,19
적성면,5
전곡읍,15
점동면,1
정남면,2
정발산동,9
정왕1동,24
정왕2동,44
정왕3동,28
정왕4동,27
정왕본동,26
정자1동,37
정자2동,35
정자3동,57
정자동,13
조리읍,36
조안면,2
조원1동,22
조원2동,17
조종면,7
주교동,6
주엽1동,14
주엽2동,19
죽산면,3
죽전1동,22
죽전2동,14
죽전3동,14
중동,20
중리동,11
중산1동,11
중산2동,18
중앙동,135
증포동,49
지동,7
지산동,3
지평면,1
진건읍,21
진안동,42
진위면,4
진접읍,102
창릉동,10
창수면,1
창전동,6
천현동,10
철산1동,8
철산2동,2
철산3동,20
철산4동,12
청계동,28
청북읍,28
청산면,1
청운면,1
청평면,4
초월읍,32
초이동,4
초지동,41
초평동,18
춘궁동,2
탄벌동,29
탄현1동,21
탄현2동,16
탄현면,10
태평1동,8
태평2동,12
태평3동,12
태평4동,13
통복동,1
통진읍,20
퇴계원읍,31
퇴촌면,8
파장동,15
파주읍,9
파평면,1
판교동,17
팔탄면,5
팽성읍,18
평내동,60
평동,43
평안동,19
평촌동,10
포곡읍,24
포승읍,15
포천동,13
풍덕천1동,30
풍덕천2동,31
풍무동,47
풍산동,27
하대원동,18
하성면,2
하안1동,16
하안2동,14
하안3동,14
하안4동,10
해양동,12
행궁동,4
행신1동,9
행신2동,20
행신3동,14
행신4동,10
행주동,5
향남읍,68
현덕면,1
호계1동,7
호계2동,16
호계3동,11
호매실동,49
호법면,4
호수동,29
호원1동,35
호원2동,44
호평동,61
화도읍,96
화산동,20
화서1동,24
화서2동,30
화전동,22
화정1동,16
화정2동,18
화현면,2
회천1동,7
회천2동,27
회천3동,35
회천4동,40
효자동,14
흥도동,17
흥선동,14
흥천면,3
